GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
compra,pe.com.farmaciadey.compra.models,CarritoCompra,0,7,0,0,0,2,0,1,0,1
compra,pe.com.farmaciadey.compra,ServletInitializer,0,12,0,0,0,2,0,2,0,2
compra,pe.com.farmaciadey.compra,CompraApplication,0,8,0,0,0,3,0,2,0,2
compra,pe.com.farmaciadey.compra.models.responses,DataResponse,8,78,0,0,2,32,2,11,2,11
compra,pe.com.farmaciadey.compra.controllers,CompraController,18,165,0,4,5,36,1,11,1,9
compra,pe.com.farmaciadey.compra.controllers,CarritoCompraController,314,38,8,0,56,11,10,1,6,1
compra,pe.com.farmaciadey.compra.utils,Utils,0,10,0,0,0,3,0,2,0,2
compra,pe.com.farmaciadey.compra.services,CompraIntegrationService,17,247,0,6,3,46,1,7,1,4
compra,pe.com.farmaciadey.compra.services,CompraService,0,33,0,0,0,5,0,3,0,3
compra,pe.com.farmaciadey.compra.services,CarritoCompraService,56,3,4,0,13,1,5,1,3,1
